show_name,name,roles,order,notes
6666,Taylor Sheridan,ep,1,
6666,John Linson,ep,2,
6666,Art Linson,ep,3,
6666,David Glasser,ep,4,
6666,Ron Burkle,ep,5,
6666,Bob Yari,ep,6,
3 Body Problem,Alexander Woo,,1,No role specified in original data
3 Body Problem,David Benioff,,2,No role specified in original data
3 Body Problem,D.B. Weiss,,3,No role specified in original data
3 Body Problem,Derek Tsang,,4,No role specified in original data
3 Body Problem,Rian Johnson,,5,No role specified in original data
3 Body Problem,Ram Bergman,,6,No role specified in original data
3 Body Problem,Brad Pitt,,7,No role specified in original data
3 Body Problem,Jeremy Kleiner,,8,No role specified in original data
3 Body Problem,Dede Gardner,,9,No role specified in original data
3 Body Problem,Rosamund Pike,,10,No role specified in original data
3 Body Problem,Robie Uniacke,,11,No role specified in original data
3 Body Problem,Lin Qi,,12,No role specified in original data
3 Body Problem,Bernadette Caulfield,,13,No role specified in original data
3 Body Problem,Nena Rodrigue,,14,No role specified in original data
61st Street,Peter Moffat,,1,No role specified in original data
61st Street,J. David Shanks,,2,No role specified in original data
61st Street,Michael B. Jordan,,3,No role specified in original data
61st Street,Alana Mayo,,4,No role specified in original data
61st Street,Hilary Salmon,,5,No role specified in original data
9-1-1: Nashville,Rashad Raisani,,1,No role specified in original data
9-1-1: Nashville,Ryan Murphy,,2,No role specified in original data
9-1-1: Nashville,Tim Minear,,3,No role specified in original data
A Knight of the Seven Kingdoms: The Hedge Knight,George R.R. Martin,,1,No role specified in original data
A Knight of the Seven Kingdoms: The Hedge Knight,Ira Parker,,2,No role specified in original data
A Knight of the Seven Kingdoms: The Hedge Knight,Ryan Condal,,3,No role specified in original data
A Knight of the Seven Kingdoms: The Hedge Knight,Vince Gerardis,,4,No role specified in original data
A League of Their Own,Abbi Jacobson,,1,No role specified in original data
A League of Their Own,Will Graham,,2,No role specified in original data
A Small Light,Joan Rater,"w, ep",1,
A Small Light,Tony Phelan,"w, ep",2,
A Small Light,Susanna Fogel,"d, ep",3,
A Small Light,Peter Traugott,ep,4,
A Small Light,Alon Shtruzman,ep,5,
A Small Light,Avi Nir,ep,6,
Acapulco,Austin Winsberg,,1,No role specified in original data
Acapulco,Chris Harris,,2,No role specified in original data
Acapulco,Eduardo Cisneros,,3,No role specified in original data
Acapulco,Jason Shuman,,4,No role specified in original data
Acapulco,Eugenio Derbez,,5,No role specified in original data
Acapulco,Benjamin Odell,,6,No role specified in original data
Acapulco,Richard Shepard,,7,No role specified in original data
Agatha: Coven of Chaos,Jac Schaeffer,"w, ep",1,
Agatha: House of Harkness,Jac Schaeffer,"w, ep",1,
All Stars,Aline Brosh McKenna,,1,No role specified in original data
All Stars,Reese Witherspoon,,2,No role specified in original data
All Stars,Lauren Neustadter,,3,No role specified in original data
All the Light We Cannot See,Steven Knight,,1,No role specified in original data
All the Light We Cannot See,Shawn Levy,,2,No role specified in original data
American Born Chinese,Kelvin Yu,"w, ep, sr",1,
American Born Chinese,Charles Yu,"w, ep",2,
American Born Chinese,Destin Daniel Cretton,"d, ep",3,
American Born Chinese,Melvin Mar,ep,4,
American Born Chinese,Jake Kasdan,ep,5,
American Born Chinese,Asher Goldstein,ep,6,
American Born Chinese,Gene Luen Yang,ep,7,
American Primeval,Pete Berg,,1,No role specified in original data
American Primeval,Mark L. Smith,,2,No role specified in original data
American Primeval,Taylor Kitsch,,3,No role specified in original data
American Primeval,Betty Gilpin,,4,No role specified in original data
American Primeval,Dane DeHaan,,5,No role specified in original data
American Tragedies: Waco - The Trials,Drew Dowdle,"w, ep, sr",1,
American Tragedies: Waco - The Trials,John Erick Dowdle,"w, ep, sr",2,
American Tragedies: Waco - The Trials,Michael Shannon,ep,3,
American Tragedies: Waco - The Trials,Andrew Gettens,ep,4,
American Tragedies: Waco - The Trials,Lauren Mackenzie,ep,5,
American Tragedies: Waco - The Trials,David C. Glasser,ep,6,
American Tragedies: Waco - The Trials,David Hutkin,ep,7,
American Tragedies: Waco - The Trials,Bob Yari,ep,8,
American Tragedies: Waco - The Trials,Ron Burkle,ep,9,
Anansi Boys,Neil Gaiman,,1,No role specified in original data
Anansi Boys,Sir Lenny Henry,,2,No role specified in original data
Anansi Boys,Arvind Ethan David,,3,No role specified in original data
Anansi Boys,Kara Smith,,4,No role specified in original data
Anansi Boys,Racheal Ofori,,5,No role specified in original data
Anansi Boys,Douglas Mackinnon,,6,No role specified in original data
Anansi Boys,Hanelle M. Culpepper,,7,No role specified in original data
Anansi Boys,Hilary Bevan Jones,,8,No role specified in original data
Anansi Boys,Richard Fee,,9,No role specified in original data
Anatomy of a Scandal,David E. Kelley,,1,No role specified in original data
Anatomy of a Scandal,Melissa James Gibson,,2,No role specified in original data
Anatomy of a Scandal,S.J. Clarkson,,3,No role specified in original data
Anatomy of a Scandal,Liza Chasin,,4,No role specified in original data
Anatomy of a Scandal,Bruna Papandrea,,5,No role specified in original data
Anatomy of a Scandal,Steve Hutensky,,6,No role specified in original data
Anatomy of a Scandal,Allie Goss,,7,No role specified in original data
Anatomy of a Scandal,Sarah Vaughan,,8,No role specified in original data
Anatomy of a Scandal,Margaret Chernin,,9,No role specified in original data
Animal Control,Bob Fisher,,1,No role specified in original data
Animal Control,Rob Greenberg,,2,No role specified in original data
Animal Control,Dan Sterling,,3,No role specified in original data
Animaniacs,Steven Spielberg,,1,No role specified in original data
Anne Rice's Interview with the Vampire,Rolin Jones,,1,No role specified in original data
Anne Rice's Interview with the Vampire,Mark Johnson,,2,No role specified in original data
Anne Rice's Interview with the Vampire,Anne Rice,,3,No role specified in original data
Anne Rice's Interview with the Vampire,Christopher Rice,,4,No role specified in original data
Anne Rice's Interview with the Vampire,Alan Taylor,,5,No role specified in original data
Anne Rice's Mayfair Witches,Esta Spalding,,1,No role specified in original data
Anne Rice's Mayfair Witches,Michelle Ashford,,2,No role specified in original data
Anne Rice's Mayfair Witches,Mark Johnson,,3,No role specified in original data
Anon Pls,Greg Berlanti,ep,1,
Anon Pls,Sarah Schechter,ep,2,
Anon Pls,DeuxMoi,ep,3,
Aquaman: King of Atlantis,James Wan,ep,1,
Aquaman: King of Atlantis,Michael Clear,ep,2,
Aquaman: King of Atlantis,Rob Hackett,ep,3,
Aquaman: King of Atlantis,Sam Register,ep,4,
Aquaman: King of Atlantis,Marly Halpern-Graser,"sr, co-ep",5,
Avalon,David E. Kelley,,1,No role specified in original data
Avatar: The Last Airbender,Albert Kim,,1,No role specified in original data
Avatar: The Last Airbender,Dan Lin,,2,No role specified in original data
Avatar: The Last Airbender,Lindsey Liberatore,,3,No role specified in original data
Avatar: The Last Airbender,Michael Goi,,4,No role specified in original data
Avatar: The Last Airbender,Roseanne Liang,,5,No role specified in original data
Avatar: The Last Airbender,Jabbar Raisani,,6,No role specified in original data
B Positive,Marco Pennette,"w, ep, sr",1,
B Positive,Chuck Lorre,ep,2,
B Positive,Jim Patterson,"ep, sr",3,
Bad Monkey,Bill Lawrence,,1,No role specified in original data
Bad Monkey,Vince Vaughn,,2,No role specified in original data
Bad Monkey,Matt Tarses,,3,No role specified in original data
Bad Monkey,Jeff Ingold,,4,No role specified in original data
Bad Monkey,Liza Katzer,,5,No role specified in original data
Bad Sisters,Sharon Horgan,,1,No role specified in original data
Bad Sisters,Brett Baer,,2,No role specified in original data
Bad Sisters,Dave Finkel,,3,No role specified in original data
Bad Sisters,Karen Cogan,,4,No role specified in original data
Bad Sisters,Ailbhe Keogan,,5,No role specified in original data
Bad Sisters,Daniel Cullen,,6,No role specified in original data
Bad Sisters,Perrie Balthazar,,7,No role specified in original data
Bad Sisters,Paul Howard,,8,No role specified in original data
Bad Sisters,Faye Dorn,,9,No role specified in original data
Bad Sisters,Clelia Mountford,,10,No role specified in original data
Bad Sisters,Malin-Sarah Gozin,,11,No role specified in original data
Bad Sisters,Dearbhla Walsh,,12,No role specified in original data
Bad Sisters,Josephine Bornebusch,,13,No role specified in original data
Bad Sisters,Rebecca Gatward,,14,No role specified in original data
Bammas,Opeyemi “Opey” Olagbaju,"w, ep",1,
Bammas,Biniam Bizuneh,"w, ep",2,
Bammas,Danny Chun,"ep, sr",3,
Bammas,Jonathan Krisel,"d, ep",4,
Bammas,Ramy Youssef,ep,5,
Based on a True Story,Craig Rosenberg,,1,No role specified in original data
Based on a True Story,Jason Bateman,,2,No role specified in original data
Batman: Caped Crusader,J.J. Abrams,,1,No role specified in original data
Batman: Caped Crusader,Matt Reeves,,2,No role specified in original data
Batman: Caped Crusader,Bruce Timm,,3,No role specified in original data
Beauty and the Beast: Little Town,Josh Gad,"w, ep, sr",1,
Beauty and the Beast: Little Town,Edward Kitsis,"w, ep, sr",2,
Beauty and the Beast: Little Town,Adam Horowitz,"w, ep, sr",3,
Beauty and the Beast: Little Town,Liesl Tommy,d,4,
Big Shot,David E. Kelley,"w, ep",1,
Big Shot,Dead Lorey,"w, ep",2,
Big Shot,Brad Garrett,ep,3,
Big Shot,Bill D’Elia,d,4,
Big Sky,David E. Kelley,"w, ep",1,
Black Cake,Marissa Jo Cerar,"w, ep",1,
Black Cake,Oprah Winfrey,ep,2,
Black Cake,Aaron Kaplan,ep,3,
Black Cake,Carla Gardini,ep,4,
Black Cake,Andrew Dosenmu,d,5,
Black Doves,Joe Barton,,1,No role specified in original data
Black Doves,Jane Featherstone,,2,No role specified in original data
Black Doves,Chris Fry,,3,No role specified in original data
Black Doves,Keira Knightley,,4,No role specified in original data
Blade Runner 2099,Silka Luisa,,1,No role specified in original data
Blade Runner 2099,Tom Spezialy,,2,No role specified in original data
Blade Runner 2099,Ridley Scott,,3,No role specified in original data
Blade Runner 2099,Andrew Kosove,,4,No role specified in original data
Blade Runner 2099,Broderick Johnson,,5,No role specified in original data
Blockbuster,Vanessa Ramos,,1,No role specified in original data
Blockbuster,David Caspe,,2,No role specified in original data
Blockbuster,Jackie Clarke,,3,No role specified in original data
Blockbuster,John Davis,,4,No role specified in original data
Blockbuster,John Fox,,5,No role specified in original data
Blockbuster,Payman Benz,,6,No role specified in original data
Blue Eye Samurai,Michael Green,,1,No role specified in original data
Blue Eye Samurai,Amber Noizumi,,2,No role specified in original data
Blue Eye Samurai,Erwin Stoff,,3,No role specified in original data
Blue Eye Samurai,Jane Wu,,4,No role specified in original data
Bonding,Rightor Doyle,,1,No role specified in original data
Bonding,Zoe Levin,,2,No role specified in original data
Bonding,Brendan Scannell,,3,No role specified in original data
Bonding,Micah Stock,,4,No role specified in original data
Boston Blue,Donnie Wahlberg,,1,No role specified in original data
Breathe,Martin Gero,,1,No role specified in original data
Breathe,Brendan Gall,,2,No role specified in original data
Breathe,Maggie Kiley,,3,No role specified in original data
Brother From Another Mother,West Read,,1,No role specified in original data
Brother From Another Mother,Woody Harrelson,,2,No role specified in original data
Brother From Another Mother,Matthew McConaughey,,3,No role specified in original data
Brother From Another Mother,David Ellison,,4,No role specified in original data
Brother From Another Mother,Dana Goldberg,,5,No role specified in original data
Brother From Another Mother,Matt Thunell,,6,No role specified in original data
Brother From Another Mother,Bill Bost,,7,No role specified in original data
Brother From Another Mother,Jeremy Plager,,8,No role specified in original data
Bupkis,Pete Davidson,,1,No role specified in original data
Bupkis,Pete Davidson,,2,No role specified in original data
Butch & Sundance,Alex Metcalf,,1,No role specified in original data
