show_name,key_creatives,network,studio,date,genre,subgenre,episode_count,source_type,status,order_type,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6666,"Taylor Sheridan (ep), John Linson (ep), Art Linson (ep), David Glasser (ep), Ron Burkle (ep), Bob Yari (ep)",Paramount+,"101 Studios, MTV Entertainment Studios",2023-01-01,Drama,,,Original,,,"Set when Comanches still ruled West Texas. No ranch in America is more steeped in the history of the West than the 6666. Encompassing an entire county, it is where the rule of law and the laws of nature merge in a place where the most dangerous thing one does is the next thing. The 6666 is synonymous with the merciless endeavor to raise the finest horses and livestock in the world and ultimately where world-class cowboys are born and made.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Body Problem,"Alexander Woo, David Benioff, D.B. Weiss, Derek Tsang, Rian Johnson, Ram Bergman, Brad Pitt, Jeremy Kleiner, Dede Gardner, Rosamund Pike, Robie Uniacke, Lin Qi, Bernadette Caulfield, Nena Rodrigue",Netflix,Plan B,2021-01-01,Sci-Fi,Drama,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61st Street,"Peter Moffat, J. David Shanks, Michael B. Jordan, Alana Mayo, Hilary Salmon",AMC,AMC Studios,2023-01-01,Drama,"Crime, Legal",,Original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-1-1: Nashville,"Rashad Raisani, Ryan Murphy, Tim Minear",ABC,,2025-02-20,Drama,"Action, Procedural",,TV Show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Knight of the Seven Kingdoms: The Hedge Knight,"George R.R. Martin, Ira Parker, Ryan Condal, Vince Gerardis",HBO,,2023-01-01,Drama,Fantasy,,Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A League of Their Own,"Abbi Jacobson, Will Graham",Prime Video,Sony Pictures Television,2021-01-01,Drama,,,Film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Man in Full,"David E. Kelley (Writer, Showrunner, Executive Producer), Jeff Daniels (Actor), Diane Lane (Actor), William Jackson Harper (Actor), Regina King (Director, Executive Producer), Matthew Tinker (Executive Producer)",Netflix,Netflix Studios,2023-01-01,Drama,,6,Book,,Limited,"Centers on Charlie Croker, a polarizing and robust Atlanta real estate mogul who faces sudden bankruptcy. Crude, rude and irrepressible, he defends his empire against all takers. At any cost. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Small Light,"Joan Rater (w, ep), Tony Phelan (w, ep), Susanna Fogel (d, ep), Peter Traugott (ep), Alon Shtruzman (ep), Avi Nir (ep)",Paramount+,"ABC Signature, Keshet Studios",2023-01-01,Drama,,,Original,,,"When twentysomething Miep Gies' boss Otto Frank came to her and asked her to hide his family from the Nazis during World War II, she didn’t hesitate. For the next two years, Miep, her husband and the other helpers watched over the eight souls in hiding in the Secret Annex. And it was Miep who found Anne Frank’s Diary and kept it safe so Otto, the only one of the eight who survived, could later share it with the world.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acapulco,"Austin Winsberg, Chris Harris, Eduardo Cisneros, Jason Shuman, Eugenio Derbez, Benjamin Odell, Richard Shepard",Apple TV+,Lionsgate Television,2023-01-01,Comedy,,,Film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agatha: Coven of Chaos,"Jac Schaeffer (w, ep)",Paramount+,Marvel Television,2023-01-01,Drama,,,Original,,,WandaVision' spinoff focusing on Agatha Harkness character. Plot details under wraps.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
